Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
R000603,David Rouzer,M,Republican,1972,5,NC-07,0.21061201393604279,0.7670065924608503
R000606,Jamie Raskin,M,Democrat,1962,4,MD-08,-0.04936043545603752,-0.14239348254805106
R000609,John Rutherford (Florida),M,Republican,1952,4,FL-05,0.23851557075977325,0.8646149995357296
R000610,Guy Reschenthaler,M,Republican,1983,3,PA-14,0.3401002287864685,1.219964560018982
R000612,John Rose (Tennessee),M,Republican,1965,3,TN-06,0.32755279541015625,1.1760728442611383
R000614,Chip Roy,M,Republican,1972,3,TX-21,0.2646567225456238,0.9560584022903745
R000617,Delia Ramirez,F,Democrat,1983,1,IL-03,-0.44384971261024475,-1.5223419312130584
S000185,Robert C. Scott,M,Democrat,1947,16,VA-03,-0.3646289110183716,-1.24522255537773
S000344,Brad Sherman,M,Democrat,1954,14,CA-32,0.0070134419947862625,0.05480590724191766
S000510,Adam Smith,M,Democrat,1965,14,WA-09,-0.24064534902572632,-0.8115202117654029
S000522,Chris Smith (New Jersey),M,Republican,1953,22,NJ-04,0.050798382610082626,0.20796839954801125
S000929,Victoria Spartz,F,Republican,1978,2,IN-05,0.17499825358390808,0.6424274056611934
S001135,Michelle Steel,F,Republican,1955,2,CA-45,0.18159392476081848,0.6654994807100777
S001148,Michael K. Simpson,M,Republican,1950,13,ID-02,-0.02138639986515045,-0.044538536286851754
S001150,Adam Schiff,M,Democrat,1960,12,CA-30,-0.38953378796577454,-1.332341390535136
S001172,Adrian Smith,M,Republican,1970,9,NE-03,0.17826810479164124,0.6538655520514511
S001176,Steve Scalise,M,Republican,1965,9,LA-01,0.17801089584827423,0.6529658188953499
S001183,David Schweikert,M,Republican,1962,7,AZ-01,-0.013485312461853027,-0.016900032691518654
S001185,Terri Sewell,F,Democrat,1965,7,AL-07,-0.24077902734279633,-0.8119878269756099
S001189,Austin Scott,M,Republican,1969,7,GA-08,0.28406715393066406,1.0239573192671074
S001190,Brad Schneider,M,Democrat,1961,5,IL-10,-0.16836272180080414,-0.558671008806025
S001195,Jason Smith (Missouri representative),M,Republican,1980,6,MO-08,0.04631391167640686,0.1922814365140575
S001205,Mary Gay Scanlon,F,Democrat,1959,4,PA-05,-0.4661819636821747,-1.6004615583020871
S001208,Elissa Slotkin,F,Democrat,1976,3,MI-07,-0.18680183589458466,-0.6231721964479973
S001209,Abigail Spanberger,F,Democrat,1979,3,VA-07,-0.0646124929189682,-0.19574614446766359
S001211,Greg Stanton,M,Democrat,1970,3,AZ-04,-0.239122211933136,-0.8061921818549662
S001212,Pete Stauber,M,Republican,1966,3,MN-08,0.2982177436351776,1.0734569772839344
